David Owens	Maybe I'm Dreaming	no_match	
Davide Squillace + Nolan	Quattro III - Soundscape	no_match	
Dayton Exchange	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
De La Soul	Stakes Is High [Tommy Boy TBCD 1149]	no_match	
De La Soul feat. Jungle Brothers, Phife Dawg & Q-Tip	3 Feet High and Rising	no_match	
Dean Francis & The Soul Rockers	Eccentric Soul: Capitol City Soul	no_match	
Death In Vegas	Lost In Translation (Music From The Motion Picture Soundtrack)	no_match	
Deborah Washington	 Personal Space: Electronic Soul 1974-1984	no_match	
Dee Jay Nehpets	DJ-Kicks: Jessy Lanza	no_match	
Dennis	Maybe I'm Dreaming	no_match	
Destroyer	Destroyer's Rubies [*2012 RE White Vinyl*]	no_match	
Devendra Banhart, Blake Mills, & Beverly Glenn-Copeland	TRANSA	no_match	
Devo	Hardcore (Disc 1)	no_match	
Devo	Hardcore (Disc 2)	no_match	
Devo	Q. Are We Not Men.  A. We Are Devo. (1978)	no_match	
Dexter Gordon	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Dick Sicely & The Country Boys	Christmas Dreamers: Yuletide Country (1960-1972)	no_match	
Diners	Musicians for a Free Palestine	no_match	
Dino Lenny	Quattro III - Redux	no_match	
Dino Lenny	QuattroIII - Tempo	no_match	
Dirty Projectors	5EPs	no_match	
Dirty Projectors feat. Amber Mark	Lamp Lit Prose	no_match	
Dirty Projectors feat. Dear Nora	Lamp Lit Prose	no_match	
Dirty Projectors feat. Empress Of	Lamp Lit Prose	no_match	
Dirty Projectors feat. Robin Pecknold & Rostam	Lamp Lit Prose	no_match	
Dominic Fike	Barbie the Album (Best Weekend Ever Edition)	no_match	
Don Bruce and The Angels	Nigeria 70: No Wahala: Highlife, Afro-Funk & Juju 1973-1987	no_match	
Don Cherry	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Don Cherry	Soul Of A Nation 2 (Jazz Is The Teacher Funk Is The Preacher: Afro-Centric Jazz, Street Funk And The Roots Of Rap In The Black Power Era 1969-75)	no_match	
Don Isaac Ezekiel Combination, The	Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos	no_match	
Don Mcginnis	Christmas Dreamers: Yuletide Country (1960-1972)	no_match	
Donald Byrd	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Dorian Concept	Miniatures	no_match	
Doug Carn	Soul Jazz Records Presents Soul Of A Nation: Afro-Centric Visions in the Age of Black Power - Underground Jazz, Street Funk & The Roots of Rap 1968-79	no_match	
Dougie Poole	Musicians for a Free Palestine	no_match	
Downtown Boys	Musicians for a Free Palestine	no_match	
Dr Victor Olaiya's International All-Stars	Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos	no_match	
Dr.K プロジェクト	BGM 1980-2000	no_match	
Drab Majesty	Holodeck Vision One	no_match	
Dressed Up Animals	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Droll	Musicians for a Free Palestine	no_match	
Drugdealer, Dougie Poole	Raw Honey	no_match	
Drugdealer, Harley and the Hummingbirds	Raw Honey	no_match	
Drugdealer, Weyes Blood	Raw Honey	no_match	
Dua Lipa	Dua Lipa Live from the Royal Albert Hall	no_match	
Dua Lipa	Future Nostalgia	fetch_error	404 Client Error: Not Found for url: https://api.discogs.com/releases/22863227
Dub Squad	Virtual Dreams II - Ambient Explorations In The House & Techno Age, Japan 1993-1999	no_match	
Dubtribe Sound System	Virtual Dreams: Ambient Explorations In The House & Techno Age, 1993-1997	no_match	
Duke Edwards and the Young Ones	Soul Jazz Records Presents Soul Of A Nation: Afro-Centric Visions in the Age of Black Power - Underground Jazz, Street Funk & The Roots of Rap 1968-79	no_match	
Dust Witch	Holodeck Vision One	no_match	
Duster	Contemporay Movement	no_match	
Dylan Baldi	Musicians for a Free Palestine	no_match	
Dylan Cameron	Holodeck Vision One	no_match	
Dynamic Africana	Nigeria 70: Lagos Jump - Original Heavyweight Afrobeat Highlife & Afro-Funk	no_match	
Echo Del Africa	Bobo Yéyé: Belle Epoque in Upper Volta	no_match	
Ed Crook	Eccentric Northern Soul	no_match	
EdOne	Quattro III - Breaks	no_match	
Eddie & The Ant Hill Mob	Boddie Recording Company: Cleveland, Ohio (Disc 1: Soul Kitchen)	no_match	
Eddie Okwedy & His Maymores Dance Band	Nigeria 70: Lagos Jump - Original Heavyweight Afrobeat Highlife & Afro-Funk	no_match	
Eduardo Ramos	Cuba: Music and Revolution - Culture Clash In Havana Cuba - Experiments in Latin Music 1975-85 Vol. 1	no_match	
Eeeka	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
